"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"315","Desire","2017","2019",0.866612840177173,1,"0.8666","ns","Wilcoxon"
"316","Desire","2017","2020",0.0611925433480955,1,"0.0612","ns","Wilcoxon"
"317","Desire","2017","2022",0.126816578932101,1,"0.1268","ns","Wilcoxon"
"318","Desire","2017","2024",0.254073180057309,1,"0.2541","ns","Wilcoxon"
"319","Desire","2017","2016",0.132352941176471,1,"0.1324","ns","Wilcoxon"
"320","Desire","2017","2011",0.809597523219814,1,"0.8096","ns","Wilcoxon"
"321","Desire","2017","2018",0.25,1,"0.2500","ns","Wilcoxon"
"322","Desire","2019","2020",0.0263957131755411,1,"0.0264","*","Wilcoxon"
"323","Desire","2019","2022",0.202973574539925,1,"0.2030","ns","Wilcoxon"
"324","Desire","2019","2024",0.548531977879899,1,"0.5485","ns","Wilcoxon"
"325","Desire","2019","2016",0.217391304347826,1,"0.2174","ns","Wilcoxon"
"326","Desire","2019","2011",0.810702341137123,1,"0.8107","ns","Wilcoxon"
"327","Desire","2019","2018",0.173913043478261,1,"0.1739","ns","Wilcoxon"
"328","Desire","2020","2022",0.556437312532592,1,"0.5564","ns","Wilcoxon"
"329","Desire","2020","2024",0.136658746322445,1,"0.1367","ns","Wilcoxon"
"330","Desire","2020","2016",0.52436974789916,1,"0.5244","ns","Wilcoxon"
"331","Desire","2020","2011",0.62024377318495,1,"0.6202","ns","Wilcoxon"
"332","Desire","2020","2018",0.529411764705882,1,"0.5294","ns","Wilcoxon"
"333","Desire","2022","2024",0.425093631353689,1,"0.4251","ns","Wilcoxon"
"334","Desire","2022","2016",0.355072463768116,1,"0.3551","ns","Wilcoxon"
"335","Desire","2022","2011",0.863946488294314,1,"0.8639","ns","Wilcoxon"
"336","Desire","2022","2018",0.521739130434783,1,"0.5217","ns","Wilcoxon"
"337","Desire","2024","2016",0.185606060606061,1,"0.1856","ns","Wilcoxon"
